HITS;MISSES;MEMORY
790;90;59.18
0;0;58.28
0;0;57.54
0;0;56.24
0;0;54.04
0;0;52.82
0;0;51.17
0;0;50.26
0;0;48.78
0;0;47.87
0;0;46.37
0;0;43.8
0;0;42.29
0;0;40.95
0;0;40.09
0;0;38.74
0;0;37.98
0;0;36.99
0;0;36.47
0;0;35.75
0;0;35.01
0;0;34.19
0;0;33.86
0;0;33.1
0;0;32.77
0;0;32.32
0;0;31.9
0;0;31.62
0;0;31.57
0;0;31.33
0;0;30.97
0;0;30.7
0;0;30.16
0;0;29.96
0;0;29.8
0;0;29.65
0;0;29.22
0;0;29.09
0;0;28.64
0;0;28.48
0;0;28.35
0;0;27.55
0;0;25.92
0;0;22.33
0;0;20.79
0;0;19.26
0;0;18.61
0;0;17.58
0;0;16.37
0;0;15.92
0;0;14.43
0;0;11.27
0;0;10.23
0;0;9.22
0;0;6.41
0;0;5.42
0;0;4.35
0;0;3.4
0;0;2.55
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;2.27
0;0;0.83
0;0;0.83
